Designation,CASETYPE
042785 - Louis I Kahn Architecture Professorship,Endowed
042790 - George Patton Architecture Archive Fund,Endowed
042795 - Kaufmann Historic Preservation Fund,Endowed
042806 - George Howard Bickley Endowment,Endowed
042837 - Charles Addams Memorial Prize Fund,Endowed
042861 - Anshen and Allen Traveling Scholarship,Endowed
042868 - Anonymous Fellowship Endowment Fund,Endowed
042885 - Julius Myerberg Architecture Fellowship,Endowed
049111 - Royer Gift Annuity,Endowed
049120 - Mehlhorn Gift Annuity #1,Endowed
049121 - Mehlhorn Gift Annuity #2,Endowed
400030 - Penn Design Dean's Discretionary Fund,Endowed
400128 - Martin I. Freeman  Jr. Fellowship Fund,Endowed
400292 - Susan Coslett Memorial Traveling Fellowship,Endowed
400360 - Irving Miller Memorial Fund,Endowed
400470 - Anne Fisher Graduate Fellowship,Endowed
400476 - William J & Flora C Fedeli Fellowship,Endowed
400490 - David & Florence Newman Endowed Scholarship,Endowed
400563 - Wendy Evans Traveling Endowed Scholarship Fund,Endowed
400578 - Thomas C Lehman Memorial Fellowship Fund,Endowed
400682 - G H Perkins Distinguished Visiting Professorship,Endowed
400713 - Leo S. Wou  FAIA  Memorial Scholarship,Endowed
400992 - Ewing Cole Endowed Lecture Fund,Endowed
401227 - G Holmes Perkins Endowment,Endowed
401250 - Pittman Family Scholars Endowed Fund,Endowed
401373 - David DeLong Fellowship,Endowed
401651 - Michael Yaron Prize in Architecture,Endowed
401725 - Berton E Korman Fund,Endowed
401732 - Robert A Fox Fund,Endowed
401748 - City and Regional Planning Fellowship,Endowed
401829 - Feldman-Siegel Endowment Fund,Endowed
401846 - Don Prowler Endowment Fund,Endowed
401987 - Crossways Professorship City & Regional Planning,Endowed
402022 - Halpern-Rogath Fine Arts Traveling Fellowship,Endowed
402230 - Shedd Fund for Architectural Archives,Endowed
402231 - Shedd Fund for Landscape Studies,Endowed
402322 - Sheldon Fox & Kohn Pedersen Fox Lectures Fund,Endowed
402387 - Robert and Susan Heidenberg Endowed Fellowship Fund,Endowed
402419 - Gary & Barbara Siegler Special Projects Fund in Landscape Architecture,Endowed
402576 - Robin M. Beckett Fund,Endowed
402594 - VanBeuren-Glascock Fund for Innovation at the School of Design,Endowed
402704 - Martin S. Kermacy Traveling Fellowship for the Architecture Department of the School of Design,Endowed
402724 - Howard A. Silverstein & Patricia Bleznak Silverstein Photography Program Endowed Fund,Endowed
402743 - Jane Marrow Fellowship,Endowed
402762 - Sardegna Fund,Endowed
403077 - Anonymous Endowed Fellowship Fund for Teaching Fellowships,Endowed
403343 - Mary Pavia Rolla & Peter M. Rolla Endowed Fund for Architectural Research,Endowed
403520 - Sachs Endowed Visiting Professorship in Fine Arts,Endowed
403525 - Keith L. & Katherine S. Sachs Fine Arts Program Fund,Endowed
403538 - Hovnanian Endowed Fellowship at the School of Design,Endowed
403543 - Abramson Family Fellowship Fund,Endowed
403738 - Daniel S. Bomson Family Fellowship Fund,Endowed
403755 - Sellers Endowed Fellowship Fund,Endowed
404142 - Kevin and Erica Penn Presidential Professorship,Endowed
404159 - Marilyn Jordan Taylor Presidential Professorship,Endowed
404180 - The Christopher Leland Lyon Memorial Fund,Endowed
404211 - Harvey and Barbara Kroiz Endowed Fund for the Architectural Archives in the School of Design,Endowed
404286 - The Lee and Rolaine Copeland Endowed Fellowship,Endowed
404312 - Catherine and Key Kolb Endowment Fund,Endowed
404457 - Jay Goldman Design Fellowship Fund,Endowed
404517 - The George W. Neff Memorial Fellowship Fund,Endowed
404596 - The Atkin Fellowship Fund,Endowed
404617 - The Robin and Jeffrey Kaplan Fund,Endowed
404644 - Willoughby Family Endowed Fellowship Fund,Endowed
404788 - The Leight Foundation Fellowship,Endowed
404793 - Pickman Udell Endowed Fellowship Fund,Endowed
404828 - Lori Kanter Tritsch Prize in Energy and Architectural Innovation Endowed Fund,Endowed
460539 - Warren Powers Laird Myers Fund,Endowed
490021 - Marjorie Miller Luke Annuity Trust,Endowed
842967 - Gift Annuity Pool PennDesign,Endowed
